test_name	exit_code	elapsed_us
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_skip_early_err_try_js	0	6029
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_existing_global_update_js	0	7525
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_skip_early_err_js	0	5292
annexB_language_eval_code_indirect_global_switch_case_eval_global_init_js	0	24087
annexB_language_eval_code_indirect_global_switch_case_eval_global_skip_early_err_block_js	0	6767
annexB_language_eval_code_indirect_global_switch_case_eval_global_existing_block_fn_update_js	0	6072
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_existing_fn_no_init_js	0	5555
annexB_language_eval_code_indirect_global_switch_case_eval_global_skip_early_err_for_of_js	0	7282
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_existing_var_update_js	0	5923
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_existing_global_init_js	0	23515
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_existing_fn_update_js	0	6240
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_block_scoping_js	0	7410
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_existing_non_enumerable_global_init_js	0	24813
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_skip_early_err_try_js	0	6463
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_update_js	0	6957
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_skip_early_err_switch_js	0	6270
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_existing_var_update_js	0	5719
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_existing_block_fn_no_init_js	0	6443
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_existing_fn_update_js	0	6080
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_no_skip_try_js	0	7701
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_skip_early_err_for_in_js	0	6281
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_skip_early_err_for_of_js	0	6735
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_existing_var_no_init_js	0	5856
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_existing_block_fn_no_init_js	0	8107
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_existing_block_fn_update_js	0	6959
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_skip_early_err_try_js	0	5693
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_existing_fn_no_init_js	0	5862
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_existing_fn_no_init_js	0	5930
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_block_scoping_js	0	7619
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_existing_non_enumerable_global_init_js	0	25690
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_existing_non_enumerable_global_init_js	0	25957
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_existing_var_no_init_js	0	5426
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_existing_var_update_js	0	5454
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_block_scoping_js	0	6408
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_existing_fn_update_js	0	6109
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_existing_global_init_js	0	25879
annexB_language_eval_code_indirect_global_block_decl_eval_global_skip_early_err_block_js	0	9543
annexB_language_eval_code_indirect_global_block_decl_eval_global_existing_global_init_js	0	36027
annexB_language_eval_code_direct_var_env_lower_lex_catch_non_strict_js	0	17433
annexB_language_eval_code_indirect_global_block_decl_eval_global_no_skip_try_js	0	10461
annexB_language_eval_code_indirect_global_block_decl_eval_global_skip_early_err_switch_js	0	10779
annexB_language_eval_code_direct_switch_case_decl_nostrict_js	0	8751
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_skip_early_err_js	0	19102
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_no_skip_try_js	0	10998
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_existing_var_no_init_js	0	8293
annexB_language_eval_code_direct_script_decl_lex_no_collision_js	0	9505
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_existing_fn_update_js	0	10774
annexB_language_eval_code_indirect_global_block_decl_eval_global_block_scoping_js	0	8401
annexB_language_eval_code_indirect_global_block_decl_eval_global_existing_fn_update_js	0	9975
annexB_language_eval_code_indirect_global_block_decl_eval_global_existing_block_fn_no_init_js	0	7942
annexB_language_eval_code_indirect_global_block_decl_eval_global_existing_block_fn_update_js	0	7977
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_skip_early_err_for_of_js	0	11108
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_existing_block_fn_update_js	0	9649
annexB_language_eval_code_direct_global_switch_dflt_eval_global_skip_early_err_for_js	0	8729
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_block_scoping_js	0	10146
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_existing_block_fn_no_init_js	0	10854
annexB_language_eval_code_direct_global_switch_dflt_eval_global_skip_early_err_for_in_js	0	10822
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_existing_global_init_js	0	40693
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_init_js	0	44684
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_skip_early_err_try_js	0	13488
annexB_language_eval_code_indirect_global_block_decl_eval_global_skip_early_err_js	0	9025
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_skip_early_err_block_js	0	9648
annexB_language_eval_code_direct_global_switch_case_eval_global_skip_early_err_for_of_js	0	5261
annexB_language_eval_code_direct_global_if_stmt_else_decl_eval_global_existing_var_no_init_js	0	4312
annexB_language_eval_code_direct_global_switch_case_eval_global_skip_early_err_js	0	4926
annexB_language_eval_code_direct_global_if_stmt_else_decl_eval_global_skip_early_err_for_in_js	0	4633
annexB_language_eval_code_direct_global_if_stmt_else_decl_eval_global_skip_early_err_block_js	0	4705
annexB_language_eval_code_direct_global_if_stmt_else_decl_eval_global_skip_early_err_for_js	0	4275
annexB_language_eval_code_direct_global_switch_dflt_eval_global_existing_fn_update_js	0	5145
annexB_language_eval_code_direct_global_if_stmt_else_decl_eval_global_existing_non_enumerable_global_init_js	0	19407
annexB_language_eval_code_direct_global_if_stmt_else_decl_eval_global_skip_early_err_try_js	0	4778
annexB_language_eval_code_direct_global_switch_case_eval_global_existing_non_enumerable_global_init_js	0	24114
annexB_language_eval_code_direct_global_switch_case_eval_global_block_scoping_js	0	5315
annexB_language_eval_code_direct_global_switch_case_eval_global_existing_fn_no_init_js	0	4945
annexB_language_eval_code_direct_global_switch_dflt_eval_global_existing_var_no_init_js	0	4998
annexB_language_eval_code_direct_global_switch_case_eval_global_existing_global_init_js	0	24140
annexB_language_eval_code_direct_global_switch_case_eval_global_existing_block_fn_update_js	0	4951
annexB_language_eval_code_direct_global_switch_case_eval_global_existing_var_no_init_js	0	4830
annexB_language_eval_code_direct_global_switch_case_eval_global_no_skip_try_js	0	5371
annexB_language_eval_code_direct_global_switch_case_eval_global_skip_early_err_block_js	0	5127
