test_name	exit_code	rss_before_kb	rss_after_kb	rss_delta_kb
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_skip_early_err_block_js	0	116432	117552	1120
annexB_language_function_code_block_decl_func_skip_arguments_js	0	151280	152336	1056
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_existing_fn_no_init_js	0	72016	79296	7280
annexB_language_expressions_assignmenttargettype_callexpression_as_for_of_lhs_js	0	138832	139776	944
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_existing_non_enumerable_global_init_js	0	93248	103248	10000
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_existing_block_fn_update_js	0	64928	72016	7088
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_existing_block_fn_no_init_js	0	58128	64928	6800
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_existing_var_update_js	0	104240	105456	1216
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_skip_early_err_for_js	0	126160	133296	7136
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_skip_early_err_try_js	0	134432	135728	1296
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_update_js	0	136864	138144	1280
annexB_language_function_code_block_decl_func_skip_early_err_try_js	0	156512	157296	784
annexB_language_expressions_assignmenttargettype_callexpression_as_for_in_lhs_js	0	138144	138832	688
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_existing_var_no_init_js	0	103248	104240	992
annexB_language_expressions_assignmenttargettype_callexpression_in_postfix_update_js	0	140704	141456	752
annexB_language_expressions_assignmenttargettype_callexpression_js	0	142272	143216	944
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_existing_fn_update_js	0	79296	80656	1360
annexB_language_function_code_block_decl_func_skip_early_err_switch_js	0	155744	156512	768
annexB_language_expressions_template_literal_legacy_octal_escape_sequence_non_strict_js	0	144192	144720	528
annexB_language_function_code_block_decl_func_block_scoping_js	0	144736	145616	880
annexB_language_function_code_block_decl_func_skip_dft_param_js	0	152336	152992	656
annexB_language_function_code_block_decl_func_existing_block_fn_update_js	0	146160	147040	880
annexB_language_function_code_block_decl_func_existing_fn_no_init_js	0	147040	147728	688
annexB_language_function_code_block_decl_func_skip_early_err_for_in_js	0	153696	154352	656
annexB_language_function_code_block_decl_func_existing_var_no_init_js	0	148464	149120	656
annexB_language_function_code_block_decl_func_init_js	0	149872	150640	768
annexB_language_function_code_block_decl_func_skip_early_err_block_js	0	152992	153696	704
annexB_language_function_code_block_decl_func_skip_early_err_js	0	157296	158048	752
annexB_language_eval_code_indirect_global_switch_case_eval_global_existing_var_no_init_js	0	176272	177168	896
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_existing_global_init_js	0	101312	106672	5360
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_update_js	0	87888	95152	7264
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_update_js	0	145888	153216	7328
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_skip_early_err_block_js	0	68256	75408	7152
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_skip_early_err_for_of_js	0	76448	77664	1216
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_init_js	0	126560	137040	10480
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_skip_early_err_for_js	0	77664	84528	6864
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_existing_block_fn_update_js	0	97536	98704	1168
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_skip_early_err_for_of_js	0	140288	141328	1040
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_block_scoping_js	0	95152	96352	1200
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_init_js	0	105456	115520	10064
annexB_language_eval_code_indirect_global_switch_case_eval_global_existing_non_enumerable_global_init_js	0	171616	176272	4656
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_existing_fn_update_js	0	100032	101296	1264
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_no_skip_try_js	0	137040	138272	1232
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_skip_early_err_block_js	0	138272	139296	1024
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_skip_early_err_for_in_js	0	139296	140288	992
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_skip_early_err_for_js	0	141328	142592	1264
annexB_language_eval_code_indirect_global_switch_case_eval_global_block_scoping_js	0	153216	160416	7200
annexB_language_eval_code_indirect_global_switch_case_eval_global_skip_early_err_for_js	0	186688	193696	7008
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_existing_non_enumerable_global_init_js	0	114432	124768	10336
annexB_language_eval_code_indirect_global_switch_case_eval_global_existing_global_update_js	0	170096	171616	1520
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_skip_early_err_try_js	0	143776	144800	1024
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_existing_global_update_js	0	106672	114416	7744
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_skip_early_err_js	0	144800	145888	1088
annexB_language_eval_code_indirect_global_switch_case_eval_global_init_js	0	178096	182400	4304
annexB_language_eval_code_indirect_global_switch_case_eval_global_skip_early_err_block_js	0	183264	184320	1056
annexB_language_eval_code_indirect_global_switch_case_eval_global_existing_block_fn_update_js	0	161504	162832	1328
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_existing_fn_no_init_js	0	98704	100032	1328
annexB_language_eval_code_indirect_global_switch_case_eval_global_skip_early_err_for_of_js	0	185360	186688	1328
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_existing_var_update_js	0	44000	50704	6704
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_existing_global_init_js	0	81360	86928	5568
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_existing_fn_update_js	0	197008	198224	1216
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_block_scoping_js	0	51360	58464	7104
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_existing_non_enumerable_global_init_js	0	94544	105056	10512
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_skip_early_err_try_js	0	182896	183872	976
