test_name	exit_code	elapsed_us
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_existing_block_fn_update_js	0	14733
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_skip_early_err_try_js	0	21152
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_existing_fn_no_init_js	0	20667
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_existing_fn_no_init_js	0	20027
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_block_scoping_js	0	19867
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_existing_non_enumerable_global_init_js	0	42901
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_existing_non_enumerable_global_init_js	0	46096
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_existing_var_no_init_js	0	16536
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_existing_var_update_js	0	19283
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_block_scoping_js	0	18186
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_existing_fn_update_js	0	16069
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_existing_global_init_js	0	58730
annexB_language_eval_code_indirect_global_block_decl_eval_global_skip_early_err_block_js	0	20207
annexB_language_eval_code_indirect_global_block_decl_eval_global_existing_global_init_js	0	84993
annexB_language_eval_code_direct_var_env_lower_lex_catch_non_strict_js	0	27994
annexB_language_eval_code_indirect_global_block_decl_eval_global_no_skip_try_js	0	18594
annexB_language_eval_code_indirect_global_block_decl_eval_global_skip_early_err_switch_js	0	17584
annexB_language_eval_code_direct_switch_case_decl_nostrict_js	0	15526
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_skip_early_err_js	0	17940
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_no_skip_try_js	0	17114
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_existing_var_no_init_js	0	16435
annexB_language_eval_code_direct_script_decl_lex_no_collision_js	0	16697
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_existing_fn_update_js	0	16999
annexB_language_eval_code_indirect_global_block_decl_eval_global_block_scoping_js	0	28153
annexB_language_eval_code_indirect_global_block_decl_eval_global_existing_fn_update_js	0	27377
annexB_language_eval_code_indirect_global_block_decl_eval_global_existing_block_fn_no_init_js	0	24337
annexB_language_eval_code_indirect_global_block_decl_eval_global_existing_block_fn_update_js	0	18199
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_skip_early_err_for_of_js	0	41914
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_existing_block_fn_update_js	0	17169
annexB_language_eval_code_direct_global_switch_dflt_eval_global_skip_early_err_for_js	0	30847
